JobID,Job Title,Company,Location,Industry,Role Category,Job Type,Work Mode,Min Experience,Required Education,Salary Range,Required Skills,Description,Posted Date,Urgency
11,Quantitative Analyst,Brown Group,"Los Angeles, CA",Retail,BI,Full-time,Hybrid,1,Bachelor's,$100k-$150k,"Stakeholder Communication, Statistics, Google Analytics, Python, NLP","Brown Group is hiring a Quantitative Analyst in Los Angeles, CA to work in Retail. Candidates should be skilled in Stakeholder Communication, Statistics, Google Analytics, Python, NLP with at least 1 years of experience. This is a Full-time position.",2025-01-15,Immediate
12,Data Engineer,Ward PLC,"Chicago, IL",Finance,Operations,Internship,Hybrid,3,PhD,$80k-$100k,"Excel, Tableau, Stakeholder Communication, Machine Learning, Statistics, SQL, Python","Ward PLC is hiring a Data Engineer in Chicago, IL to work in Finance. Candidates should be skilled in Excel, Tableau, Stakeholder Communication, Machine Learning, Statistics, SQL, Python with at least 3 years of experience. This is a Internship position.",2025-02-12,Future Hiring
13,Risk Analyst,"Jensen, Bennett and Bean","Seattle, WA",Healthcare,AI/ML,Part-time,Remote,3,Bachelor's,$100k-$150k,"Power BI, TensorFlow, Excel, Tableau, SQL, Machine Learning, Stakeholder Communication, Deep Learning, Scikit-learn","Jensen, Bennett and Bean is hiring a Risk Analyst in Seattle, WA to work in Healthcare. Candidates should be skilled in Power BI, TensorFlow, Excel, Tableau, SQL, Machine Learning, Stakeholder Communication, Deep Learning, Scikit-learn with at least 3 years of experience. This is a Part-time position.",2024-11-02,Within 30 Days
14,Business Analyst,Henderson-Anderson,"Seattle, WA",Consulting,Data,Contract,Remote,1,Bachelor's,$100k-$150k,"SQL, Excel, Statistics, Tableau, Stakeholder Communication, TensorFlow, PyTorch, Machine Learning, Business Strategy","Henderson-Anderson is hiring a Business Analyst in Seattle, WA to work in Consulting. Candidates should be skilled in SQL, Excel, Statistics, Tableau, Stakeholder Communication, TensorFlow, PyTorch, Machine Learning, Business Strategy with at least 1 years of experience. This is a Contract position.",2024-10-26,Within 30 Days
15,Data Engineer,Miller-Madden,"Austin, TX",Retail,Data,Full-time,Hybrid,1,Master's,$80k-$100k,"Deep Learning, Machine Learning, PyTorch, TensorFlow, Google Analytics","Miller-Madden is hiring a Data Engineer in Austin, TX to work in Retail. Candidates should be skilled in Deep Learning, Machine Learning, PyTorch, TensorFlow, Google Analytics with at least 1 years of experience. This is a Full-time position.",2025-02-12,Future Hiring
16,Product Analyst,Henderson-Anderson,"Austin, TX",Consulting,AI/ML,Full-time,Remote,0,Bachelor's,$70k-$90k,"Business Strategy, Tableau, PyTorch, NLP, Google Analytics, SQL, Stakeholder Communication, Machine Learning, Scikit-learn","Henderson-Anderson is hiring a Product Analyst in Austin, TX to work in Consulting. Candidates should be skilled in Business Strategy, Tableau, PyTorch, NLP, Google Analytics, SQL, Stakeholder Communication, Machine Learning, Scikit-learn with at least 0 years of experience. This is a Full-time position.",2025-01-31,Rolling
17,Data Analyst,Sawyer LLC,"Los Angeles, CA",Finance,BI,Part-time,Hybrid,4,PhD,$70k-$90k,"NLP, Google Analytics, Business Strategy, PyTorch, Power BI, Stakeholder Communication","Sawyer LLC is hiring a Data Analyst in Los Angeles, CA to work in Finance. Candidates should be skilled in NLP, Google Analytics, Business Strategy, PyTorch, Power BI, Stakeholder Communication with at least 4 years of experience. This is a Part-time position.",2024-11-23,Future Hiring
18,BI Analyst,Erickson LLC,"Austin, TX",Retail,Finance,Contract,Remote,2,Bachelor's,$70k-$90k,"Python, Stakeholder Communication, SQL, Power BI, Machine Learning, Business Strategy, Google Analytics, Scikit-learn","Erickson LLC is hiring a BI Analyst in Austin, TX to work in Retail. Candidates should be skilled in Python, Stakeholder Communication, SQL, Power BI, Machine Learning, Business Strategy, Google Analytics, Scikit-learn with at least 2 years of experience. This is a Contract position.",2025-02-18,Immediate
19,Financial Analyst,"Elliott, Jackson and Rodriguez","Boston, MA",Technology,Finance,Part-time,Hybrid,2,Bachelor's,$90k-$120k,"NLP, Excel, Tableau, Google Analytics, PyTorch, Deep Learning, Stakeholder Communication, Scikit-learn, Python","Elliott, Jackson and Rodriguez is hiring a Financial Analyst in Boston, MA to work in Technology. Candidates should be skilled in NLP, Excel, Tableau, Google Analytics, PyTorch, Deep Learning, Stakeholder Communication, Scikit-learn, Python with at least 2 years of experience. This is a Part-time position.",2024-12-11,Within 30 Days
20,HR Analytics Specialist,Brown Group,"Boston, MA",Technology,BI,Full-time,Hybrid,2,Bachelor's,$90k-$120k,"PyTorch, Machine Learning, SQL, Business Strategy, Stakeholder Communication, Scikit-learn, Python, Statistics, Tableau","Brown Group is hiring a HR Analytics Specialist in Boston, MA to work in Technology. Candidates should be skilled in PyTorch, Machine Learning, SQL, Business Strategy, Stakeholder Communication, Scikit-learn, Python, Statistics, Tableau with at least 2 years of experience. This is a Full-time position.",2025-02-14,Rolling
21,Financial Analyst,Palmer Group,"New York, NY",Healthcare,Data,Contract,On-site,1,Bachelor's,$80k-$100k,"Tableau, NLP, PyTorch, Machine Learning, Power BI","Palmer Group is hiring a Financial Analyst in New York, NY to work in Healthcare. Candidates should be skilled in Tableau, NLP, PyTorch, Machine Learning, Power BI with at least 1 years of experience. This is a Contract position.",2024-12-15,Rolling
22,Cybersecurity Analyst,Grant Ltd,"San Francisco, CA",Retail,Operations,Contract,Remote,1,PhD,$100k-$150k,"Scikit-learn, TensorFlow, Google Analytics, Power BI, Statistics, SQL","Grant Ltd is hiring a Cybersecurity Analyst in San Francisco, CA to work in Retail. Candidates should be skilled in Scikit-learn, TensorFlow, Google Analytics, Power BI, Statistics, SQL with at least 1 years of experience. This is a Contract position.",2024-11-03,Within 30 Days
23,Risk Analyst,Mason LLC,"Austin, TX",Consulting,Data,Full-time,On-site,5,PhD,$90k-$120k,"Business Strategy, Scikit-learn, NLP, Machine Learning, Statistics, TensorFlow, PyTorch","Mason LLC is hiring a Risk Analyst in Austin, TX to work in Consulting. Candidates should be skilled in Business Strategy, Scikit-learn, NLP, Machine Learning, Statistics, TensorFlow, PyTorch with at least 5 years of experience. This is a Full-time position.",2024-11-10,Within 30 Days
24,Healthcare Data Analyst,"Maldonado, Anderson and Tanner","Seattle, WA",Retail,Data,Part-time,Hybrid,0,PhD,$100k-$150k,"NLP, Deep Learning, Google Analytics, Tableau, Machine Learning, TensorFlow, Stakeholder Communication, Scikit-learn","Maldonado, Anderson and Tanner is hiring a Healthcare Data Analyst in Seattle, WA to work in Retail. Candidates should be skilled in NLP, Deep Learning, Google Analytics, Tableau, Machine Learning, TensorFlow, Stakeholder Communication, Scikit-learn with at least 0 years of experience. This is a Part-time position.",2024-11-27,Immediate
25,Marketing Analyst,Pearson Inc,"New York, NY",Retail,Finance,Part-time,On-site,0,Bachelor's,$100k-$150k,"Business Strategy, PyTorch, SQL, Power BI, Deep Learning, Machine Learning, NLP, Scikit-learn","Pearson Inc is hiring a Marketing Analyst in New York, NY to work in Retail. Candidates should be skilled in Business Strategy, PyTorch, SQL, Power BI, Deep Learning, Machine Learning, NLP, Scikit-learn with at least 0 years of experience. This is a Part-time position.",2025-03-02,Within 30 Days
26,Healthcare Data Analyst,"Rogers, Thomas and Ward","San Francisco, CA",Consulting,Finance,Internship,Hybrid,3,Bachelor's,$100k-$150k,"Google Analytics, Business Strategy, Scikit-learn, PyTorch, Power BI","Rogers, Thomas and Ward is hiring a Healthcare Data Analyst in San Francisco, CA to work in Consulting. Candidates should be skilled in Google Analytics, Business Strategy, Scikit-learn, PyTorch, Power BI with at least 3 years of experience. This is a Internship position.",2024-11-20,Within 30 Days
27,Risk Analyst,Romero PLC,"Boston, MA",Healthcare,Engineering,Full-time,On-site,3,Bachelor's,$100k-$150k,"Python, Deep Learning, Excel, Statistics, SQL","Romero PLC is hiring a Risk Analyst in Boston, MA to work in Healthcare. Candidates should be skilled in Python, Deep Learning, Excel, Statistics, SQL with at least 3 years of experience. This is a Full-time position.",2025-01-05,Within 30 Days
28,Cybersecurity Analyst,Ford Group,"Houston, TX",Technology,Operations,Contract,On-site,4,Master's,$90k-$120k,"TensorFlow, Machine Learning, Statistics, Python, Business Strategy, Excel, Stakeholder Communication","Ford Group is hiring a Cybersecurity Analyst in Houston, TX to work in Technology. Candidates should be skilled in TensorFlow, Machine Learning, Statistics, Python, Business Strategy, Excel, Stakeholder Communication with at least 4 years of experience. This is a Contract position.",2025-02-02,Rolling
29,Healthcare Data Analyst,Flynn-Richardson,"Los Angeles, CA",Technology,Engineering,Full-time,Remote,4,PhD,$100k-$150k,"Scikit-learn, NLP, Google Analytics, PyTorch, Business Strategy, Tableau, SQL, Excel","Flynn-Richardson is hiring a Healthcare Data Analyst in Los Angeles, CA to work in Technology. Candidates should be skilled in Scikit-learn, NLP, Google Analytics, PyTorch, Business Strategy, Tableau, SQL, Excel with at least 4 years of experience. This is a Full-time position.",2025-02-25,Future Hiring
30,Data Engineer,Flynn-Richardson,"Chicago, IL",Healthcare,Operations,Full-time,On-site,0,Bachelor's,$90k-$120k,"Business Strategy, Tableau, Stakeholder Communication, Statistics, Deep Learning, Machine Learning, SQL, PyTorch, Python","Flynn-Richardson is hiring a Data Engineer in Chicago, IL to work in Healthcare. Candidates should be skilled in Business Strategy, Tableau, Stakeholder Communication, Statistics, Deep Learning, Machine Learning, SQL, PyTorch, Python with at least 0 years of experience. This is a Full-time position.",2024-10-31,Within 30 Days
31,BI Analyst,Dixon Ltd,"Seattle, WA",Healthcare,Finance,Internship,On-site,5,PhD,$90k-$120k,"Deep Learning, Scikit-learn, NLP, Statistics, Stakeholder Communication","Dixon Ltd is hiring a BI Analyst in Seattle, WA to work in Healthcare. Candidates should be skilled in Deep Learning, Scikit-learn, NLP, Statistics, Stakeholder Communication with at least 5 years of experience. This is a Internship position.",2025-03-19,Within 30 Days
32,Cybersecurity Analyst,Alexander and Sons,"Los Angeles, CA",Consulting,AI/ML,Full-time,On-site,2,Master's,$80k-$100k,"Tableau, SQL, PyTorch, Python, Excel, Machine Learning, Power BI","Alexander and Sons is hiring a Cybersecurity Analyst in Los Angeles, CA to work in Consulting. Candidates should be skilled in Tableau, SQL, PyTorch, Python, Excel, Machine Learning, Power BI with at least 2 years of experience. This is a Full-time position.",2024-11-22,Within 30 Days
33,AI Engineer,Parker-Brown,"San Francisco, CA",Retail,Finance,Contract,On-site,4,Bachelor's,$70k-$90k,"TensorFlow, SQL, Tableau, Excel, Google Analytics, Power BI, Business Strategy, NLP","Parker-Brown is hiring a AI Engineer in San Francisco, CA to work in Retail. Candidates should be skilled in TensorFlow, SQL, Tableau, Excel, Google Analytics, Power BI, Business Strategy, NLP with at least 4 years of experience. This is a Contract position.",2025-03-06,Future Hiring
34,Product Analyst,Parker-Brown,"New York, NY",Healthcare,Engineering,Part-time,Remote,1,Master's,$80k-$100k,"SQL, Machine Learning, Google Analytics, PyTorch, Business Strategy, Tableau, Statistics, Deep Learning","Parker-Brown is hiring a Product Analyst in New York, NY to work in Healthcare. Candidates should be skilled in SQL, Machine Learning, Google Analytics, PyTorch, Business Strategy, Tableau, Statistics, Deep Learning with at least 1 years of experience. This is a Part-time position.",2024-10-26,Future Hiring
35,Data Analyst,"Elliott, Jackson and Rodriguez","New York, NY",Retail,Finance,Part-time,Hybrid,2,Bachelor's,$100k-$150k,"NLP, Business Strategy, SQL, Google Analytics, Power BI","Elliott, Jackson and Rodriguez is hiring a Data Analyst in New York, NY to work in Retail. Candidates should be skilled in NLP, Business Strategy, SQL, Google Analytics, Power BI with at least 2 years of experience. This is a Part-time position.",2025-01-07,Rolling
36,HR Analytics Specialist,Duran-Hart,"Los Angeles, CA",Healthcare,Finance,Contract,Hybrid,5,PhD,$90k-$120k,"SQL, Machine Learning, NLP, Deep Learning, TensorFlow, PyTorch, Scikit-learn, Tableau, Python","Duran-Hart is hiring a HR Analytics Specialist in Los Angeles, CA to work in Healthcare. Candidates should be skilled in SQL, Machine Learning, NLP, Deep Learning, TensorFlow, PyTorch, Scikit-learn, Tableau, Python with at least 5 years of experience. This is a Contract position.",2024-11-24,Immediate
37,Operations Analyst,"Bauer, Thomas and Harrison","Austin, TX",Consulting,BI,Full-time,Hybrid,3,Master's,$70k-$90k,"Machine Learning, TensorFlow, Tableau, Excel, NLP, PyTorch, Power BI, Scikit-learn, Deep Learning","Bauer, Thomas and Harrison is hiring a Operations Analyst in Austin, TX to work in Consulting. Candidates should be skilled in Machine Learning, TensorFlow, Tableau, Excel, NLP, PyTorch, Power BI, Scikit-learn, Deep Learning with at least 3 years of experience. This is a Full-time position.",2025-03-17,Rolling
38,Business Analyst,Ford Group,"Seattle, WA",Finance,Engineering,Full-time,Hybrid,0,Master's,$90k-$120k,"Scikit-learn, Business Strategy, SQL, Google Analytics, Tableau, Python, Machine Learning","Ford Group is hiring a Business Analyst in Seattle, WA to work in Finance. Candidates should be skilled in Scikit-learn, Business Strategy, SQL, Google Analytics, Tableau, Python, Machine Learning with at least 0 years of experience. This is a Full-time position.",2025-02-13,Rolling
39,Business Analyst,Ward PLC,"Austin, TX",Consulting,BI,Part-time,Hybrid,3,Bachelor's,$60k-$80k,"Python, TensorFlow, Stakeholder Communication, Business Strategy, Power BI, Machine Learning, Tableau, SQL","Ward PLC is hiring a Business Analyst in Austin, TX to work in Consulting. Candidates should be skilled in Python, TensorFlow, Stakeholder Communication, Business Strategy, Power BI, Machine Learning, Tableau, SQL with at least 3 years of experience. This is a Part-time position.",2024-12-12,Future Hiring
40,Business Analyst,Hanson Group,"Chicago, IL",Consulting,Data,Contract,Remote,5,Bachelor's,$100k-$150k,"Machine Learning, Stakeholder Communication, Power BI, TensorFlow, NLP","Hanson Group is hiring a Business Analyst in Chicago, IL to work in Consulting. Candidates should be skilled in Machine Learning, Stakeholder Communication, Power BI, TensorFlow, NLP with at least 5 years of experience. This is a Contract position.",2025-01-08,Within 30 Days
41,Business Analyst,Mcdonald-Nelson,"Boston, MA",Retail,Operations,Full-time,Hybrid,1,PhD,$70k-$90k,"TensorFlow, Google Analytics, Tableau, Business Strategy, Excel, Scikit-learn, NLP, Python, Machine Learning","Mcdonald-Nelson is hiring a Business Analyst in Boston, MA to work in Retail. Candidates should be skilled in TensorFlow, Google Analytics, Tableau, Business Strategy, Excel, Scikit-learn, NLP, Python, Machine Learning with at least 1 years of experience. This is a Full-time position.",2024-11-07,Future Hiring
42,ML Analyst,Murphy-Montgomery,"Chicago, IL",Finance,Data,Contract,On-site,2,Master's,$90k-$120k,"PyTorch, Stakeholder Communication, Python, NLP, Business Strategy, Scikit-learn","Murphy-Montgomery is hiring a ML Analyst in Chicago, IL to work in Finance. Candidates should be skilled in PyTorch, Stakeholder Communication, Python, NLP, Business Strategy, Scikit-learn with at least 2 years of experience. This is a Contract position.",2025-01-04,Within 30 Days
43,Financial Analyst,"Ingram, Ware and Foley","Houston, TX",Consulting,Data,Part-time,On-site,2,Bachelor's,$80k-$100k,"Statistics, Scikit-learn, PyTorch, Business Strategy, Excel","Ingram, Ware and Foley is hiring a Financial Analyst in Houston, TX to work in Consulting. Candidates should be skilled in Statistics, Scikit-learn, PyTorch, Business Strategy, Excel with at least 2 years of experience. This is a Part-time position.",2025-01-28,Future Hiring
44,ML Analyst,Dixon Ltd,"Boston, MA",Consulting,Data,Part-time,Hybrid,4,PhD,$80k-$100k,"TensorFlow, NLP, SQL, Tableau, Business Strategy, Machine Learning, Deep Learning, Excel","Dixon Ltd is hiring a ML Analyst in Boston, MA to work in Consulting. Candidates should be skilled in TensorFlow, NLP, SQL, Tableau, Business Strategy, Machine Learning, Deep Learning, Excel with at least 4 years of experience. This is a Part-time position.",2025-01-02,Within 30 Days
45,Operations Analyst,Henderson-Anderson,"Denver, CO",Consulting,Engineering,Full-time,Hybrid,3,PhD,$80k-$100k,"NLP, Power BI, Tableau, Stakeholder Communication, Excel, Business Strategy, Deep Learning","Henderson-Anderson is hiring a Operations Analyst in Denver, CO to work in Consulting. Candidates should be skilled in NLP, Power BI, Tableau, Stakeholder Communication, Excel, Business Strategy, Deep Learning with at least 3 years of experience. This is a Full-time position.",2025-01-25,Immediate
46,Healthcare Data Analyst,Mason LLC,"Houston, TX",Technology,Engineering,Internship,On-site,5,Master's,$100k-$150k,"Tableau, Stakeholder Communication, Power BI, Excel, Business Strategy, Python, NLP, Deep Learning, Google Analytics","Mason LLC is hiring a Healthcare Data Analyst in Houston, TX to work in Technology. Candidates should be skilled in Tableau, Stakeholder Communication, Power BI, Excel, Business Strategy, Python, NLP, Deep Learning, Google Analytics with at least 5 years of experience. This is a Internship position.",2025-01-20,Immediate
47,BI Analyst,Martinez-Pena,"Chicago, IL",Technology,Finance,Part-time,Hybrid,2,PhD,$90k-$120k,"Statistics, NLP, PyTorch, TensorFlow, SQL, Machine Learning, Excel, Google Analytics","Martinez-Pena is hiring a BI Analyst in Chicago, IL to work in Technology. Candidates should be skilled in Statistics, NLP, PyTorch, TensorFlow, SQL, Machine Learning, Excel, Google Analytics with at least 2 years of experience. This is a Part-time position.",2025-02-07,Future Hiring
48,Data Scientist,Pearson Inc,"Houston, TX",Finance,Operations,Part-time,Remote,1,PhD,$70k-$90k,"Scikit-learn, Python, NLP, PyTorch, Machine Learning, Excel, Google Analytics, Statistics, Tableau","Pearson Inc is hiring a Data Scientist in Houston, TX to work in Finance. Candidates should be skilled in Scikit-learn, Python, NLP, PyTorch, Machine Learning, Excel, Google Analytics, Statistics, Tableau with at least 1 years of experience. This is a Part-time position.",2024-12-14,Within 30 Days
49,Financial Analyst,"Bauer, Thomas and Harrison","Chicago, IL",Consulting,Data,Part-time,Remote,4,Master's,$80k-$100k,"Business Strategy, PyTorch, NLP, Scikit-learn, Google Analytics, TensorFlow, SQL, Deep Learning","Bauer, Thomas and Harrison is hiring a Financial Analyst in Chicago, IL to work in Consulting. Candidates should be skilled in Business Strategy, PyTorch, NLP, Scikit-learn, Google Analytics, TensorFlow, SQL, Deep Learning with at least 4 years of experience. This is a Part-time position.",2024-12-26,Future Hiring
50,Marketing Analyst,Phillips Inc,"Boston, MA",Technology,Data,Full-time,Remote,3,Bachelor's,$100k-$150k,"Google Analytics, Power BI, PyTorch, Statistics, Tableau, Machine Learning, TensorFlow, Business Strategy","Phillips Inc is hiring a Marketing Analyst in Boston, MA to work in Technology. Candidates should be skilled in Google Analytics, Power BI, PyTorch, Statistics, Tableau, Machine Learning, TensorFlow, Business Strategy with at least 3 years of experience. This is a Full-time position.",2025-03-12,Rolling
51,HR Analytics Specialist,Henderson-Anderson,"Austin, TX",Consulting,Engineering,Contract,Hybrid,0,PhD,$100k-$150k,"Machine Learning, TensorFlow, Stakeholder Communication, SQL, Tableau, Python","Henderson-Anderson is hiring a HR Analytics Specialist in Austin, TX to work in Consulting. Candidates should be skilled in Machine Learning, TensorFlow, Stakeholder Communication, SQL, Tableau, Python with at least 0 years of experience. This is a Contract position.",2025-01-29,Within 30 Days
52,Marketing Analyst,Martinez PLC,"Los Angeles, CA",Consulting,Engineering,Internship,Remote,4,PhD,$100k-$150k,"Stakeholder Communication, Statistics, Machine Learning, Excel, SQL, Tableau, TensorFlow, Google Analytics, Business Strategy","Martinez PLC is hiring a Marketing Analyst in Los Angeles, CA to work in Consulting. Candidates should be skilled in Stakeholder Communication, Statistics, Machine Learning, Excel, SQL, Tableau, TensorFlow, Google Analytics, Business Strategy with at least 4 years of experience. This is a Internship position.",2024-11-26,Within 30 Days
53,ML Analyst,Henderson-Anderson,"Los Angeles, CA",Finance,BI,Full-time,Remote,5,Bachelor's,$70k-$90k,"Business Strategy, TensorFlow, SQL, Deep Learning, Machine Learning, Scikit-learn, Excel, Statistics","Henderson-Anderson is hiring a ML Analyst in Los Angeles, CA to work in Finance. Candidates should be skilled in Business Strategy, TensorFlow, SQL, Deep Learning, Machine Learning, Scikit-learn, Excel, Statistics with at least 5 years of experience. This is a Full-time position.",2025-03-21,Future Hiring
54,HR Analytics Specialist,Henderson-Anderson,"Austin, TX",Retail,BI,Full-time,On-site,2,Bachelor's,$70k-$90k,"Machine Learning, Excel, SQL, TensorFlow, Power BI, Statistics","Henderson-Anderson is hiring a HR Analytics Specialist in Austin, TX to work in Retail. Candidates should be skilled in Machine Learning, Excel, SQL, TensorFlow, Power BI, Statistics with at least 2 years of experience. This is a Full-time position.",2024-10-28,Future Hiring
55,HR Analytics Specialist,Stanley-Kelley,"Boston, MA",Retail,Data,Full-time,Hybrid,0,PhD,$70k-$90k,"NLP, Machine Learning, PyTorch, Tableau, Google Analytics","Stanley-Kelley is hiring a HR Analytics Specialist in Boston, MA to work in Retail. Candidates should be skilled in NLP, Machine Learning, PyTorch, Tableau, Google Analytics with at least 0 years of experience. This is a Full-time position.",2024-11-28,Immediate
56,Data Engineer,"Rogers, Thomas and Ward","Houston, TX",Technology,Data,Contract,Hybrid,0,Master's,$70k-$90k,"Python, SQL, NLP, Power BI, Google Analytics, Business Strategy, Deep Learning","Rogers, Thomas and Ward is hiring a Data Engineer in Houston, TX to work in Technology. Candidates should be skilled in Python, SQL, NLP, Power BI, Google Analytics, Business Strategy, Deep Learning with at least 0 years of experience. This is a Contract position.",2025-03-03,Immediate
57,Data Engineer,Mcdonald-Nelson,"Chicago, IL",Finance,Data,Full-time,Remote,4,Master's,$90k-$120k,"Scikit-learn, Machine Learning, Excel, Statistics, NLP, PyTorch","Mcdonald-Nelson is hiring a Data Engineer in Chicago, IL to work in Finance. Candidates should be skilled in Scikit-learn, Machine Learning, Excel, Statistics, NLP, PyTorch with at least 4 years of experience. This is a Full-time position.",2024-11-15,Immediate
58,Data Engineer,Duran-Hart,"New York, NY",Technology,Finance,Part-time,Remote,0,PhD,$90k-$120k,"Machine Learning, Tableau, Statistics, PyTorch, Power BI, NLP, Google Analytics, Deep Learning","Duran-Hart is hiring a Data Engineer in New York, NY to work in Technology. Candidates should be skilled in Machine Learning, Tableau, Statistics, PyTorch, Power BI, NLP, Google Analytics, Deep Learning with at least 0 years of experience. This is a Part-time position.",2025-02-09,Rolling
59,Data Engineer,"Hanson, Allen and Dougherty","Austin, TX",Retail,Finance,Contract,On-site,1,Master's,$80k-$100k,"TensorFlow, PyTorch, Statistics, Google Analytics, Python, Machine Learning, SQL","Hanson, Allen and Dougherty is hiring a Data Engineer in Austin, TX to work in Retail. Candidates should be skilled in TensorFlow, PyTorch, Statistics, Google Analytics, Python, Machine Learning, SQL with at least 1 years of experience. This is a Contract position.",2025-02-21,Immediate
60,Healthcare Data Analyst,"Rogers, Thomas and Ward","Denver, CO",Healthcare,Operations,Contract,Remote,2,Master's,$60k-$80k,"Statistics, Machine Learning, Google Analytics, Power BI, Tableau, SQL, PyTorch","Rogers, Thomas and Ward is hiring a Healthcare Data Analyst in Denver, CO to work in Healthcare. Candidates should be skilled in Statistics, Machine Learning, Google Analytics, Power BI, Tableau, SQL, PyTorch with at least 2 years of experience. This is a Contract position.",2024-11-26,Future Hiring
